premise,hypothesis,label
"Lee, 2010: Effects of bibosoop plantation on wind 
speed, humidity, and evaporation in a traditional agricultural landscape 
of Korea: Field measurements and modeling.","In a traditional agricultural landscape of Korea, the effects of bibosoop plantation on wind speed, humidity, and evaporation are measured.",entailment
"Lee, 2010: Effects of bibosoop plantation on wind 
speed, humidity, and evaporation in a traditional agricultural landscape 
of Korea: Field measurements and modeling.","In a traditional agricultural landscape of Korea, the effects of bibosoop plantation on wind speed, humidity, and evaporation are not measured.",contradiction
"Lee, 2010: Effects of bibosoop plantation on wind 
speed, humidity, and evaporation in a traditional agricultural landscape 
of Korea: Field measurements and modeling.","Manage., 327, 290–305, doi:10.1016/j.
foreco.2014.04.005.
Rochecouste, J.-F ., P .",neutral
"Furthermore in SSP3, restricted trade 
increase this price effect (Wiebe et al.",This price effect is caused by restricted trade increase.,entailment
"Furthermore in SSP3, restricted trade 
increase this price effect (Wiebe et al.",This price effect is not caused by restricted trade increase.,contradiction
"Furthermore in SSP3, restricted trade 
increase this price effect (Wiebe et al.","Mace, 2015: Ecosystem services and poverty 
alleviation: A review of the empirical links.",neutral
"Adeel, 2008: Development paths of drylands: Thresholds and 
sustainability.",Adeel wrote about development paths of drylands.,entailment
"Adeel, 2008: Development paths of drylands: Thresholds and 
sustainability.",It is false that Adeel wrote about development paths of drylands.,contradiction
"Adeel, 2008: Development paths of drylands: Thresholds and 
sustainability.","Asquith, 2018: Ecosystems, Poverty Alleviation and 
Conditional Transfers Guidance for Practitioners.",neutral
"Sci., 270, 1887–1892, doi:10.1098/rspb.2003.2464.
Williamson, T.B., and H.W.","The article is titled ""Sci., 270, 1887–1892.""",entailment
"Sci., 270, 1887–1892, doi:10.1098/rspb.2003.2464.
Williamson, T.B., and H.W.","The article is not titled ""Sci., 270, 1887–1892.""",contradiction
"Sci., 270, 1887–1892, doi:10.1098/rspb.2003.2464.
Williamson, T.B., and H.W.","In: Hazards, Risks and, Disasters in Society 
[Shroder, J., A.",neutral
"There 
is low confidence concerning the temperature threshold at which 
risks become very high due to large regional differences and limited 
global-scale studies (Li and Fang 2016b; Vanmaercke et al.","Due to large regional differences and limited global-scale studies, there is low confidence concerning the temperature threshold at which risks become very high.",entailment
"There 
is low confidence concerning the temperature threshold at which 
risks become very high due to large regional differences and limited 
global-scale studies (Li and Fang 2016b; Vanmaercke et al.","Due to large regional differences and limited global-scale studies, there is not low confidence concerning the temperature threshold at which risks become very high.",contradiction
"There 
is low confidence concerning the temperature threshold at which 
risks become very high due to large regional differences and limited 
global-scale studies (Li and Fang 2016b; Vanmaercke et al.","Masera, 2015: The carbon footprint 
of traditional woodfuels.",neutral
"In: Making Climate Compatible Devevelopment 
Happen [Nunan, F .",Making Climate compatible devevelopment happen.,entailment
"In: Making Climate Compatible Devevelopment 
Happen [Nunan, F .",It is false that Making Climate compatible devevelopment happen.,contradiction
"In: Making Climate Compatible Devevelopment 
Happen [Nunan, F .","2016) and government flood disaster assistance negatively 
impacts on average insurance coverage the following year (Kousky 
et al.",neutral
"Dev., 3, 298–309, doi:10.1080/17565529.2011.627419.
Kale, E., 2017: Problematic uses and practices of farm ponds in Maharashtra.",In 2017: Problematic uses and practices of farm ponds in Maharashtra.,entailment
"Dev., 3, 298–309, doi:10.1080/17565529.2011.627419.
Kale, E., 2017: Problematic uses and practices of farm ponds in Maharashtra.",In 2021: Problematic uses and practices of farm ponds in Maharashtra.,contradiction
"Dev., 3, 298–309, doi:10.1080/17565529.2011.627419.
Kale, E., 2017: Problematic uses and practices of farm ponds in Maharashtra.","2009; Falkenmark 2001
d Loss of biodiversity 6, 7, 12, 15, 18 Pereira et al.",neutral
"This corresponds with the complex 
decision-making space, the realm of social sciences and qualitative 
knowledge, where cause and effect is difficult to relate with any 
confidence (French 2013).",In the realm of social sciences and qualitative knowledge cause and effect is difficult to relate with any confidence.,entailment
"This corresponds with the complex 
decision-making space, the realm of social sciences and qualitative 
knowledge, where cause and effect is difficult to relate with any 
confidence (French 2013).",In the realm of social sciences and qualitative knowledge cause and effect is not difficult to relate with any confidence.,contradiction
"This corresponds with the complex 
decision-making space, the realm of social sciences and qualitative 
knowledge, where cause and effect is difficult to relate with any 
confidence (French 2013).","Gioli, 2016: Waltz with development: Insights on the 
developmentalization of climate-induced migration.",neutral
"2015); (ii) knowledge and technology capacity 
(Menz et al.",knowledge and technology capacity in 2015.,entailment
"2015); (ii) knowledge and technology capacity 
(Menz et al.",knowledge and technology capacity in 2018.,contradiction
"2015); (ii) knowledge and technology capacity 
(Menz et al.","Simul., 17, 1–9, doi:10.18564/jasss.2381.
Bonan, G.B., 2008: Forests and climate change: Forcings, feedbacks, and 
the climate benefits of forests.",neutral
"Seizing of agricultural land by competing factions, 
preventing food distribution in times of shortage have, in this region 
and others, contributed to a triad of food insecurity, humanitarian 
need, and large movements of people (Theisen et al.","Seizing of agricultural land by competing groups, preventing food distribution in times of shortage, and large movements of people have contributed to food insecurity, humanitarian need, and large movements of people in this region and others.",entailment
"Seizing of agricultural land by competing factions, 
preventing food distribution in times of shortage have, in this region 
and others, contributed to a triad of food insecurity, humanitarian 
need, and large movements of people (Theisen et al.","It is false that Seizing of agricultural land by competing groups, preventing food distribution in times of shortage, and large movements of people have contributed to food insecurity, humanitarian need, and large movements of people in this region and others.",contradiction
"Seizing of agricultural land by competing factions, 
preventing food distribution in times of shortage have, in this region 
and others, contributed to a triad of food insecurity, humanitarian 
need, and large movements of people (Theisen et al.","River Basin Manag., 
16, 287–297, doi:10.1080/15715124.2018.1439495.
Hurlbert, M., and J.",neutral
"Policy, 14, 730–733, 
doi:10.1016/j.envsci.2010.12.010.
Internal Displacement Monitoring Center, 2017: Global Disaster Displacement 
Risk – A Baseline for Future Work.","Internal Displacement Monitoring Center, 2017: Global Disaster Displacement Risk is a baseline for future work.",entailment
"Policy, 14, 730–733, 
doi:10.1016/j.envsci.2010.12.010.
Internal Displacement Monitoring Center, 2017: Global Disaster Displacement 
Risk – A Baseline for Future Work.","Internal Displacement Monitoring Center, 2017: Global Disaster Displacement Risk is not a baseline for future work.",contradiction
"Policy, 14, 730–733, 
doi:10.1016/j.envsci.2010.12.010.
Internal Displacement Monitoring Center, 2017: Global Disaster Displacement 
Risk – A Baseline for Future Work.","Eltahir, 2016: Climate change unlikely to 
increase malaria burden in West Africa.",neutral
"2017), strong correlations between local perceptions of 
climate change and meteorological data have been shown, as calendars, almanacs, and other seasonal and interannual systems 
knowledge embedded in ILK hold information about environmental baselines (Orlove et al.","There are strong correlations between local perception of climate change and meteorological data, as calendars, almanacs, and other seasonal and interannual systems knowledge embedded in ILK hold information about environmental baselines.",entailment
"2017), strong correlations between local perceptions of 
climate change and meteorological data have been shown, as calendars, almanacs, and other seasonal and interannual systems 
knowledge embedded in ILK hold information about environmental baselines (Orlove et al.","There are not strong correlations between local perception of climate change and meteorological data, as calendars, almanacs, and other seasonal and interannual systems knowledge embedded in ILK hold information about environmental baselines.",contradiction
"2017), strong correlations between local perceptions of 
climate change and meteorological data have been shown, as calendars, almanacs, and other seasonal and interannual systems 
knowledge embedded in ILK hold information about environmental baselines (Orlove et al.","Policy coherence also refers to spatial trade-offs and 
geopolitical implications within and between regions and countries 
implementing SDGs.",neutral
"Fre, Z., 2018: Knowledge Sovereignty Among African Cattle Herders.",Knowledge sovereignty among African cattle herders was the topic of discussion.,entailment
"Fre, Z., 2018: Knowledge Sovereignty Among African Cattle Herders.",It is false that Knowledge sovereignty among African cattle herders was the topic of discussion.,contradiction
"Fre, Z., 2018: Knowledge Sovereignty Among African Cattle Herders.","For example, including indigenous and/
or local people in programmes related to environmental conservation, formal education, land management planning and security 
tenure rights is key to facilitate climate change adaptation.",neutral
"et al., 2010: Marginal abatement cost curves for UK agricultural 
greenhouse gas emissions.",The cost curves for UK agricultural greenhouse gas emissions were published in 2010.,entailment
"et al., 2010: Marginal abatement cost curves for UK agricultural 
greenhouse gas emissions.",The cost curves for UK agricultural greenhouse gas emissions were published in 2012.,contradiction
"et al., 2010: Marginal abatement cost curves for UK agricultural 
greenhouse gas emissions.","Grieshop, 2017: In-use emissions and 
estimated impacts of traditional, natural- and forced-draft cookstoves 
in rural Malawi.",neutral
"At these temperatures, catastrophic reductions in crop yields may occur, of up to 60% in low latitudes (Rosenzweig et al.",Crop yields may be reduced by up to 60% in low latitudes at these temperatures.,entailment
"At these temperatures, catastrophic reductions in crop yields may occur, of up to 60% in low latitudes (Rosenzweig et al.",Crop yields may be reduced by up to 62% in low latitudes at these temperatures.,contradiction
"At these temperatures, catastrophic reductions in crop yields may occur, of up to 60% in low latitudes (Rosenzweig et al.","Rasul, G., 2014: Food, water, and energy security in South Asia: A nexus 
perspective from the Hindu Kush Himalayan region.",neutral
"There is robust evidence and robust 
agreement that changes in household wealth and parents’ education can drive changes in diet and improvements in nutrition (Headey 
et al.",Changes in household wealth and parents' education can lead to changes in diet and nutrition.,entailment
"There is robust evidence and robust 
agreement that changes in household wealth and parents’ education can drive changes in diet and improvements in nutrition (Headey 
et al.",It is false that Changes in household wealth and parents' education can lead to changes in diet and nutrition.,contradiction
"There is robust evidence and robust 
agreement that changes in household wealth and parents’ education can drive changes in diet and improvements in nutrition (Headey 
et al.","(ed.), 1988: Managing Canal Irrigation: Practical Analysis from 
South Asia.",neutral
"Tippett, 2007: 
Social learning in European river-basin management: Barriers and fostering 
mechanisms from 10 river basins.",Social learning in European river-basin management: Barriers and fostering mechanisms.,entailment
"Tippett, 2007: 
Social learning in European river-basin management: Barriers and fostering 
mechanisms from 10 river basins.",It is false that Social learning in European river-basin management: Barriers and fostering mechanisms.,contradiction
"Tippett, 2007: 
Social learning in European river-basin management: Barriers and fostering 
mechanisms from 10 river basins.","In the EU, on-site costs 
of soil erosion by wind has been reported at an average of 55 USD 
per hectare annually, but up to 450  USD per hectare for sugar 
beet and oilseed rape (Middleton et al.",neutral
"Understanding informal institutions is crucial for adapting 
to climate change, advancing technological adaptation measures, 
achieving comprehensive disaster management and advancing 
collective decision-making (Karim and Thiel 2017).","Understanding informal institutions is important for adapting to climate change, technological adaptation measures, achieving comprehensive disaster management and advance collective decision-making.",entailment
"Understanding informal institutions is crucial for adapting 
to climate change, advancing technological adaptation measures, 
achieving comprehensive disaster management and advancing 
collective decision-making (Karim and Thiel 2017).","Understanding informal institutions is not important for adapting to climate change, technological adaptation measures, achieving comprehensive disaster management and advance collective decision-making.",contradiction
"Understanding informal institutions is crucial for adapting 
to climate change, advancing technological adaptation measures, 
achieving comprehensive disaster management and advancing 
collective decision-making (Karim and Thiel 2017).","Seizing of agricultural land by competing factions, 
preventing food distribution in times of shortage have, in this region 
and others, contributed to a triad of food insecurity, humanitarian 
need, and large movements of people (Theisen et al.",neutral
"These measures are the main instruments for 
reducing fatalities and limiting damage from extreme climate and 
land change events (Surminski et al.",These measures are used to limit damage from extreme climate and land change events.,entailment
"These measures are the main instruments for 
reducing fatalities and limiting damage from extreme climate and 
land change events (Surminski et al.",These measures are not used to limit damage from extreme climate and land change events.,contradiction
"These measures are the main instruments for 
reducing fatalities and limiting damage from extreme climate and 
land change events (Surminski et al.","Deforestation has been shown to enhance the survival and 
development of major malaria vectors (Wang et al.",neutral
"In dryland environments, populations have historically demonstrated remarkable resilience and innovation to 
cope with high climatic variability, manage dynamic interactions between local communities and ecosystems, and sustain livelihoods 
(Safriel and Adeel 2008; Davies 2017).","In dryland environments, populations have historically demonstrated resilience and innovation to cope with high climate variability.",entailment
"In dryland environments, populations have historically demonstrated remarkable resilience and innovation to 
cope with high climatic variability, manage dynamic interactions between local communities and ecosystems, and sustain livelihoods 
(Safriel and Adeel 2008; Davies 2017).","It is false that In dryland environments, populations have historically demonstrated resilience and innovation to cope with high climate variability.",contradiction
"In dryland environments, populations have historically demonstrated remarkable resilience and innovation to 
cope with high climatic variability, manage dynamic interactions between local communities and ecosystems, and sustain livelihoods 
(Safriel and Adeel 2008; Davies 2017).","Perspect., 28, 121–46, doi:10.1257/jep.28.1.121.
Alston, M., 2006: The gendered impact of drought.",neutral
"Nature, 461, 
472–475, doi:10.1038/461472a.
Rockström, J.","Nature, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465",entailment
"Nature, 461, 
472–475, doi:10.1038/461472a.
Rockström, J.","Nature, 466, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465, 465",contradiction
"Nature, 461, 
472–475, doi:10.1038/461472a.
Rockström, J.","Adeel, 2008: Development paths of drylands: Thresholds and 
sustainability.",neutral
"Carbon Balance Manag., 12, 3, doi:10.1186/s13021-017-0072-2.",There is a Carbon Balance Manag.,entailment
"Carbon Balance Manag., 12, 3, doi:10.1186/s13021-017-0072-2.",There is not a Carbon Balance Manag.,contradiction
"Carbon Balance Manag., 12, 3, doi:10.1186/s13021-017-0072-2.","In an assessment of 
166 initiatives in 16 countries, integrated landscape initiatives 
were found to address the drivers of agriculture, ecosystem 
conservation, livelihood preservation and institutional 
coordination.",neutral
"2017a) including policies 
such as REDD+ (Kaisa et al.",policies such as REDD+,entailment
"2017a) including policies 
such as REDD+ (Kaisa et al.",It is false that policies such as REDD+,contradiction
"2017a) including policies 
such as REDD+ (Kaisa et al.","Land Use Policy, 58, 70–82, doi:10.1016/J.
LANDUSEPOL.2016.07.007.",neutral
"Chang., 28, 182–191, doi:10.1016/j.gloenvcha.2014.07.001.
Fyson, C., and L.","Chang., 28, 182–191, was published in the journalgloenvcha.",entailment
"Chang., 28, 182–191, doi:10.1016/j.gloenvcha.2014.07.001.
Fyson, C., and L.","Chang., 33, 182–191, was published in the journalgloenvcha.",contradiction
"Chang., 28, 182–191, doi:10.1016/j.gloenvcha.2014.07.001.
Fyson, C., and L.","Colenbrander, 2013a: Gender Aspects of 
Small-scale Private Irrigation in Africa, IWMI Working Paper.",neutral
"Figure  7.3 shows the risk level (from undetectable to 
very high, aggregating risks of food insecurity, loss of ES and water 
scarcity) as a  function of the global amount of land (million km2) 
used for bioenergy, considering second generation bioenergy.",The risk level is shown in Figure 7.3 as a function of the global amount of land used for bioenergy and second generation bioenergy.,entailment
"Figure  7.3 shows the risk level (from undetectable to 
very high, aggregating risks of food insecurity, loss of ES and water 
scarcity) as a  function of the global amount of land (million km2) 
used for bioenergy, considering second generation bioenergy.",The risk level is not shown in Figure 7.3 as a function of the global amount of land used for bioenergy and second generation bioenergy.,contradiction
"Figure  7.3 shows the risk level (from undetectable to 
very high, aggregating risks of food insecurity, loss of ES and water 
scarcity) as a  function of the global amount of land (million km2) 
used for bioenergy, considering second generation bioenergy.","Cooke, 2012: Explaining the failure to insure catastrophic 
risks.",neutral
"Rayner, 2013: Patching vs packaging in policy formulation: 
Assessing policy portfolio design.",Rayner wrote about patching vs packaging in policy portfolio design.,entailment
"Rayner, 2013: Patching vs packaging in policy formulation: 
Assessing policy portfolio design.",It is false that Rayner wrote about patching vs packaging in policy portfolio design.,contradiction
"Rayner, 2013: Patching vs packaging in policy formulation: 
Assessing policy portfolio design.","Policy, 50, 96–110, doi:10.1016/j.
marpol.2014.05.005.
Bennich, T., S.",neutral
"2014), and thereby supports the translation of narrative 
scenarios to quantitative outputs (Mallampalli et al.",It supports the translation of narrative scenarios to quantitative outputs.,entailment
"2014), and thereby supports the translation of narrative 
scenarios to quantitative outputs (Mallampalli et al.",It is false that It supports the translation of narrative scenarios to quantitative outputs.,contradiction
"2014), and thereby supports the translation of narrative 
scenarios to quantitative outputs (Mallampalli et al.","International cooperation to modernise the 
traditional biomass sector will free up both land and labour for more 
productive uses.",neutral
"While 
the former prevents non-poor and transient poor from becoming 
chronically poor, the latter is meant to lift people out of poverty 
by changing societal or institutional structures.",The latter is meant to lift people out of poverty by changing societal or institutional structures.,entailment
"While 
the former prevents non-poor and transient poor from becoming 
chronically poor, the latter is meant to lift people out of poverty 
by changing societal or institutional structures.",The latter is not meant to lift people out of poverty by changing societal or institutional structures.,contradiction
"While 
the former prevents non-poor and transient poor from becoming 
chronically poor, the latter is meant to lift people out of poverty 
by changing societal or institutional structures.","Initiat.,
Rigon, A., 2014: Building local governance: Participation and Elite capture 
in slum-upgrading in Kenya.",neutral
Lessons from a decade of hybrid biofuel governance.,Lessons from a decade of governance.,entailment
Lessons from a decade of hybrid biofuel governance.,It is false that Lessons from a decade of governance.,contradiction
Lessons from a decade of hybrid biofuel governance.,"Urpelainen, 2014: Fuel stacking in India: Changes in the 
cooking and lighting mix, 1987-2010.",neutral
"Mastruzzi, 2009: Governance Matters VIII 
Aggregate and Individual Governance Indicators 1996–2008 (English).",Governance Matters VIII Aggregate and Individual Governance Indicators 1996–2008 was written by Mastruzzi.,entailment
